06-24  17:00:01 : C - BALANCE Session
06-24  17:00:01 : C - Improvement: +29%
06-24  17:00:01 : I - BALANCE_00, 28
06-24  17:00:48 : I - BALANCE_00 END clicked=true
06-24  17:39:30 : C - Status:
	L: Connected 99% 50Hz
	R: Connected 99% 48Hz
	P: Connected 86% 49Hz
	Baseline: 1,00 x 1.8650899
06-24  17:39:30 : C - P OK, waiting for L and R...
06-24  17:42:12 : I - L: Initializing...
06-24  17:42:13 : I - L: Connecting...
06-24  17:42:13 : I - L: Connected
06-24  17:42:13 : I - R: Initializing...
06-24  17:42:13 : I - R: Connecting...
06-24  17:42:13 : I - P: Connected
06-24  17:42:14 : I - R: Connected
06-24  18:00:00 : C - BALANCE Session
06-24  18:00:01 : C - Improvement: +40%
06-24  18:00:01 : I - BALANCE_00, 40
06-24  18:00:45 : I - BALANCE_00 END clicked=true
06-24  19:00:00 : C - STOP Session
06-24  19:00:01 : C - Improvement: +164%
06-24  19:00:01 : I - BALANCE_00, 163
06-24  19:00:38 : I - BALANCE_00 END clicked=true
06-24  19:00:39 : I - REVIEW_NIGHT_00, 27, 40, 163
06-24  19:00:50 : I - REVIEW_NIGHT_00 END clicked=true
06-24  19:00:52 : I - REVIEW_DAY_00, 162, null, null, null, -83, 46, 27, 40, 163
06-24  19:00:53 : I - REVIEW_DAY_00 END clicked=true
06-24  19:00:53 : I - STOP_00
06-24  19:00:55 : I - STOP_00 END clicked=true
06-24  19:00:55 : I - STOP_01
06-24  19:00:58 : I - STOP_01 END clicked=true
06-24  19:00:58 : I - STOP_02
06-24  19:01:00 : I - STOP_02 END clicked=true
06-24  19:31:38 : C - Synchronizing...
