TrackingID; Time; MidSpineX; MidSpineY; MidSpineZ; LeftWristX; LeftWristY; LeftWristZ; RightWristX; RightWristY; RightWristZ
1;18-6-2015 19.35.22.8684;-0.1547052;-0.1529394;2.771755;-0.2237376;-0.03443358;2.569702;0.1390685;-0.2331194;2.651244
1;18-6-2015 19.35.22.9029;-0.1554589;-0.1530103;2.771397;-0.2228924;-0.0344684;2.568795;0.1561954;-0.2025762;2.627165
1;18-6-2015 19.35.22.9353;-0.156894;-0.1528363;2.77178;-0.2224458;-0.03414665;2.571705;0.1850677;-0.1772229;2.594059
1;18-6-2015 19.35.22.9684;-0.1568404;-0.1527771;2.771818;-0.2232861;-0.0367838;2.571393;0.1985176;-0.1161658;2.56886
1;18-6-2015 19.35.23.0027;-0.1572177;-0.1526003;2.77159;-0.2268087;-0.04361211;2.570106;0.203787;-0.05411375;2.568897
1;18-6-2015 19.35.23.0360;-0.1578701;-0.1520655;2.771498;-0.2250864;-0.03257719;2.568373;0.219973;-0.01040911;2.570405
1;18-6-2015 19.35.23.0682;-0.1581161;-0.1511751;2.771311;-0.2251303;-0.03532617;2.568305;0.2726933;0.03080083;2.519588
1;18-6-2015 19.35.23.1023;-0.1588227;-0.150259;2.771205;-0.2225136;-0.03472167;2.569771;0.2763274;0.1073871;2.517083
1;18-6-2015 19.35.23.1355;-0.1585431;-0.1496387;2.770463;-0.2235037;-0.03397229;2.571187;0.2903549;0.1645508;2.504797
1;18-6-2015 19.35.23.1680;-0.1586867;-0.1480943;2.770709;-0.229826;-0.03538159;2.576434;0.2869318;0.2066135;2.515811
1;18-6-2015 19.35.23.2024;-0.1580317;-0.1473322;2.770849;-0.2313484;-0.03556832;2.576737;0.2935059;0.2538609;2.510665
1;18-6-2015 19.35.23.2359;-0.1591163;-0.1464716;2.772136;-0.2316374;-0.03526911;2.576303;0.2995833;0.2877408;2.500528
1;18-6-2015 19.35.23.2686;-0.1590232;-0.1459961;2.771899;-0.230457;-0.03448494;2.576609;0.2977897;0.2999422;2.502812
1;18-6-2015 19.35.23.3039;-0.1591443;-0.144876;2.772308;-0.2315758;-0.03065934;2.576032;0.2950825;0.3089579;2.505122
1;18-6-2015 19.35.23.3363;-0.1588522;-0.1445893;2.771804;-0.2325901;-0.03102074;2.574257;0.2931352;0.3123714;2.505125
1;18-6-2015 19.35.23.3688;-0.158805;-0.1442055;2.771728;-0.239415;-0.01479979;2.56991;0.2928148;0.3126302;2.505099
1;18-6-2015 19.35.23.4022;-0.1591009;-0.1440634;2.771894;-0.2396115;-0.01174026;2.567027;0.2931991;0.3114567;2.503892
1;18-6-2015 19.35.23.4357;-0.1601378;-0.1435045;2.772525;-0.2407482;-0.008908322;2.566236;0.2956548;0.296792;2.50355
1;18-6-2015 19.35.23.4689;-0.1610356;-0.1428872;2.773036;-0.2434637;-0.006448504;2.565318;0.2893357;0.256435;2.507423
